citation_num,citation_code,authors,title,publisher,publication_year,journal,issue,volume,pages,book_title,book_editor,doi
1780,"RUDNICK, 1999","RUDNICK, R L; IRELAND, T R; GEHRELS, G; IRVING, A J; CHESLEY, J T; HANCHAR, J M",DATING MANTLE METASOMATISM:  U-Pb GEOCHRONOLOGY OF ZIRCONS IN CRATONIC MANTLE XENOLITHS FROM MONTANA AND TANZANIA,,1999,PROCEEDINGS OF THE VIITH INTERNATIONAL KIMBERLITE CONFERENCE,,,NULL,KIMBERLITES II:  MANTLE AND CRUST-MANTLE RELATIONSHIPS,"GURNEY JJ, GURNEY JL, PASCOE MD, RICHARDSON SH",NULL
1782,"ARCULUS, 1988","ARCULUS, R J; FERGUSON, J; CHAPPELL, B W; SMITH, D; MCCULLOCH, M T; JACKSON, I; HENSEL, H D; TAYLOR, S R; KNUTSON, J; GUST, D A","TRACE ELEMENT AND ISOTOPIC CHARACTERISTICS OF ECLOGITES AND OTHER XENOLITHS DERIVED FROM THE LOWER CONTINENTAL CRUST OF SOUTHWESTERN AUSTRALIA AND SOUTHWESTERN COLORADO PLATEAU, USA","ELSEVIER, AMSTERDAM",1988,,,,335-386,ECLOGITES AND ECLOGITE-FACIES,D.C. SMITH,NULL
1783,"KOPYLOVA, 1999","KOPYLOVA, M G; RUSSELL, J K; COOKENBOO, H","PETROLOGY OF PERIDOTITE AND PYROXENITE XENOLITHS FROM THE JERICHO KIMBERLITE:  IMPLICATIONS FOR THE THERMAL STATE OF THE MANTLE BENEATH THE SLAVE CRATON, NORTHERN CANADA",,1999,J PETROL,1,40,79-104,,,10.1093/petroj/40.1.79
1786,"SMITH, 1999","SMITH, D; RITER, J C A; MERTZMAN, S A","WATER-ROCK INTERACTIONS, ORTHOPYROXENE GROWTH, AND Si-ENRICHMENT IN THE MANTLE: EVIDENCE IN XENOLITHS FROM THE COLORADO PLATEAU, SOUTHWESTERN UNITED STATES",,1999,EARTH PLANET SCI LETT,,165,45-54,,,10.1016/S0012-821X(98)00251-9
1787,"SMITH, 1997","SMITH, D; RITER, J C A","GENESIS AND EVOLUTION OF LOW-Al ORTHOPYROXENE IN SPINEL PERIDOTITE XENOLITHS, GRAND CANYON",,1997,CONTRIB MINERAL PETROL,,127,391-404,,,10.1007/s004100050288
1791,"AULBACH, 2008","AULBACH, S; RUDNICK, R L; MCDONOUGH, W F",Li-Sr-Nd ISOTOPE SIGNATURES OF THE PLUME AND CRATONIC LITHOSPHERIC MANTLE BENEATH THE MARGIN OF THE RIFTED TANZANIAN CRATON (LABAIT),,2008,CONTRIB MINERAL PETROL,,155,79-92,,,10.1007/s00410-007-0226-4
1792,"AULBACH, 2007","AULBACH, S; PEARSON, N J; OREILLY, S Y; DOYLE, B J","ORIGINS OF XENOLITHIC ECLOGITES AND PYROXENITES FROM THE CENTRAL SLAVE CRATON, CANADA",,2007,J PETROL,10,48,1843-1873,,,10.1093/petrology/egm041
1794,"IONOV, 2007","IONOV, D A; HOFMANN, A W",DEPTH OF FORMATION OF SUBCONTINENTAL OFF-CRATON PERIDOTITES,,2007,EARTH PLANET SCI LETT,,261,620-634,,,10.1016/j.epsl.2007.07.036
1795,"IONOV, 2005","IONOV, D A; BLICHERT-TOFT, J; WEIS, D",Hf ISOTOPE COMPOSITIONS AND HREE VARIATIONS IN OFF-CRATON GARNET AND SPINEL PERIDOTITE XENOLITHS FROM CENTRAL ASIA,,2005,GEOCHIM COSMOCHIM ACTA,9,69,2399-2418,,,10.1016/j.gca.2004.11.008
1802,"AULBACH, 2008","AULBACH, S; OREILLY, S Y; GRIFFIN, W L; PEARSON, N J",SUBCONTINENTAL LITHOSPHERIC MANTLE ORIGIN OF HIGH NIOBIUM/TANTALUM RATIOS IN ECOLOGITES,,2008,NATURE GEOSCIENCE,,1,468-472,,,10.1038/ngeo226
1807,"WITTIG, 2008","WITTIG, N; PEARSON, D G; WEBB, M; OTTLEY, C J; IRVINE, G J; KOPYLOVA, M G; JENSEN, S M; NOWELL, G M","ORIGIN OF CRATONIC LITHOSPHERIC MANTLE ROOTS: A GEOCHEMICAL STUDY OF PERIDOTITES FROM THE NORTH ATLANTIC CRATON, WEST GREENLAND",,2008,EARTH PLANET SCI LETT,,274,24-33,,,10.1016/j.epsl.2008.06.034
1811,"RUDNICK, 2004","RUDNICK, R L; GAO, S; LING, W-L; LIU, Y-S; MCDONOUGH, W F","PETROLOGY AND GEOCHEMISTRY OF SPINEL PERIDOTITE XENOLITHS FROM HANNUOBA AND QIXIA, NORTH CHINA CRATON",,2004,LITHOS,,77,609-637,,,10.1016/j.lithos.2004.03.033
1812,"CHOUKROUN, 2005","CHOUKROUN, M; OREILLY, S Y; GRIFFIN, W L; PEARSON, N J; DAWSON, J B",Hf ISOTOPES OF MARID (MICA-AMPHIBOLE-RUTILE-ILMENITE-DIOPSIDE) RUTILE TRACE METASOMATIC PROCESSES IN THE LITHOSPHERIC MANTLE,,2005,GEOLOGY,1,33,45-48,,,10.1130/G21084.1
1814,"AULBACH, 2009","AULBACH, S; CREASER, R A; PEARSON, N J; SIMONETTI, S S; HEAMAN, L M; GRIFFIN, W L; STACHEL, T","SULFIDE AND WHOLE ROCK Re-Os SYSTEMATICS OF ECLOGITE AND PYROXENITE XENOLITHS FROM THE SLAVE CRATON, CANADA",,2009,EARTH PLANET SCI LETT,,283,48-58,,,10.1016/j.epsl.2009.03.023
1817,"VILJOEN, 2009","VILJOEN, K S; DOBBE, R; SMIT, B","GEOCHEMICAL PROCESSES IN PERIDOTITE XENOLITHS FROM THE PREMIER DIAMOND MINE, SOUTH AFRICA: EVIDENCE FOR THE DEPLETION AND REFERTILISATION OF SUBCRATONIC LITHOSPHERE",,2009,LITHOS,,112,1133-1142,,,10.1016/j.lithos.2009.05.004
1819,"PEARSON, 2004","PEARSON, D G; IRVINE, G J; IONOV, D A; BOYD, F R; DREIBUS, G",Re-Os ISOTOPE SYSTEMATICS AND PLATINUM GROUP ELEMENT FRACTIONATION DURING MANTLE MELT EXTRACTION: A STUDY OF MASSIF AND XENOLITH PERIDOTITE SUITES,,2004,CHEMICAL GEOLOGY,,208,29-59,,,10.1016/j.chemgeo.2004.04.005
1820,"GAO, 2002","GAO, S; RUDNICK, R L; CARLSON, R W; MCDONOUGH, W F; LIU, Y-S",Re-Os EVIDENCE FOR REPLACEMENT OF ANCIENT MANTLE LITHOSPHERE BENEATH THE NORTH CHINA CRATON,,2002,EARTH PLANET SCI LETT,,198,307-322,,,10.1016/S0012-821X(02)00489-2
1831,"CHEN, 1995","CHEN, W; ARCULUS, R J","GEOCHEMICAL AND ISOTOPIC CHARACTERISTICS OF LOWER CRUSTAL XENOLITHS, SAN FRANCISCO VOLCANIC FIELD, ARIZONA, U.S.A.",,1995,LITHOS,,36,203-225,,,10.1016/0024-4937(95)00018-6
1846,"LUGUET, 2009","LUGUET, A; JAQUES, A L; PEARSON, D G; SMITH, C B; BULANOVA, G P; ROFFEY, S L; RAYNER, M J; LORAND, J P","AN INTEGRATED PETROLOGICAL, GEOCHEMICAL AND RE-OS ISOTOPE STUDY OF PERIDOTITE XENOLITHS FROM THE ARGYLE LAMPROITE, WESTERN AUSTRALIA AND IMPLICATIONS FOR CRATONIC DIAMOND OCCURRENCES",,2009,LITHOS,,112,1096-1108,,,10.1016/j.lithos.2009.05.022
1852,"BOYD, 2004","BOYD, F R; PEARSON, D G; HOAL, K O; HOAL, B G; NIXON, P H; KINGSTON, M J; MERTZMAN, S A","GARNET LHERZOLITES FROM LOUWRENSIA, NAMIBIA: BULK COMPOSITION AND P/T RELATIONS",,2004,LITHOS,,77,573-592,,,10.1016/j.lithos.2004.03.010
1856,"DE HOOG, 2010","DE HOOG, J C M; GALL, L; CORNELL, D H",TRACE ELEMENT GEOCHEMISTRY OF MANTLE OLIVINE AND APPLICATION TO MANTLE PETROGENESIS AND GEOTHERMOBAROMETRY,,2010,CHEMICAL GEOLOGY,,270,196-215,,,10.1016/j.chemgeo.2009.11.017
1866,"IRVINE, 2003","IRVINE, G J; PEARSON, D G; KJARSGAARD, B A; CARLSON, R W; KOPYLOVA, M G; DREIBUS, G",A RE-OS ISOTOPE STUDY OF KIMBERLITE-DERIVED PERIDOTITE XENOLITHS FROM SOMERSET ISLAND AND A COMPARISON TO THE SLAVE AND KAAPVAAL CRATONS,,2003,LITHOS,,71,461-488,,,10.1016/S0024-4937(03)00126-9
1867,"IRVING, 1980","IRVING, A J",PETROLOGY AND GEOCHEMISTRY OF COMPOSITION ULTRAMAFIC XENOLITHS IN ALKALIC BASALTS AND IMPLICATIONS FOR MAGMATIC PROCESSES WITHIN THE MANTLE,,1980,AMERIC J SCI,,280A,389-426,,,NULL
1871,"JANAK, 2006","JANAK, M; FROITZHEIM, N; VRABEC, M; KROGH RAVNA, E J; DE HOOG, J C M","ULTRAHIGH-PRESSURE METAMORPHISM AND EXHUMATION OF GARNET PERIDOTITE IN POHORJE, EASTERN ALPS",,2006,J METAMORPHIC GEOL,,24,19-31,,,10.1111/j.1525-1314.2005.00619.x
1872,"JAQUES, 1990","JAQUES, A L; ONEILL, H ST C; SMITH, C B; MOON, J; CHAPPELL, B W","DIAMONDIFEROUS PERIDOTITE XENOLITHS FROM THE ARGYLE (AK1) LAMPROITE PIPE, WESTERN AUSTRALIA",,1990,CONTRIB MINERAL PETROL,,104,255-276,,,10.1007/bf00321484
1877,"DANCHIN, 1979","DANCHIN, R V","MINERAL AND BULK CHEMISTRY OF GARNET LHERZOLITE AND GARNET HARZBURGITE XENOLITHS FROM THE PREMIER MINE, SOUTH AFRICA",,1979,PROCEEDINGS OF THE SECOND INTERNATIONAL KIMBERLITE CONFERENCE,,16,104-126,,,10.1029/SP016p0104
1888,"MEISEL, 2001","MEISEL, T; WALKER, R J; IRVING, A J; LORAND, J P",OSMIUM ISOTOPIC COMPOSITIONS OF MANTLE XENOLITHS: A GLOBAL PERSPECTIVE,,2001,GEOCHIM COSMOCHIM ACTA,8,65,1311-1323,,,10.1016/S0016-7037(00)00566-4
1893,"WITTIG, 2010","WITTIG, N; PEARSON, D G; DUGGEN, S; BAKER, J A; HOERNLE, K","TRACING THE METASOMATIC AND MAGMATIC EVOLUTION OF CONTINENTAL MANTLE ROOTS WITH Sr, Nd, Hf AND Pb ISOTOPES: A CASE STUDY OF MIDDLE STLAS (MOROCCO) PERIDOTITE XENOLITHS",,2010,GEOCHIM COSMOCHIM ACTA,4,74,1417-1435,,,10.1016/j.gca.2009.10.048
1894,"WITTIG, 2010","WITTIG, N; PEARSON, D G; BAKER, J A; DUGGEN, S; HOERNLE, K","A MAJOR ELEMENT, PGE AND Re-Os ISOTOPE STUDY OF MIDDLE ATLAS (MOROCCO) PERIDOTITE XENOLITHS: EVIDENCE FOR COUPLED INTRODUCTION OF METASOMATIC SULPHIDES AND CLINOPYROXENE",,2010,LITHOS,4-Jan,115,15-26,,,10.1016/j.lithos.2009.11.003
1898,"ZANGANA, 1997","ZANGANA, N A; DOWNES, H; THIRLWALL, M F; HEGNER, E","RELATIONSHIP BETWEEN DEFORMATION, EQUILIBRATION TEMPERATURES, REE AND RADIOGENIC ISOTOPES IN MANTLE XENOLITHS (RAY PIC, MASSIF CENTRAL, FRANCE): AN EXAMPLE OF PLUME-LITHOSPHERE INTERACTION?",,1997,CONTRIB MINERAL PETROL,,127,187-203,,,10.1007/s004100050275
1901,"RITER, 1996","RITER, J C A; SMITH, D",XENOLITH CONSTRAINTS ON THE THERMAL HISTORY OF THE MANTLE BELOW THE COLORADO PLATEAU,,1996,GEOLOGY,,24,267-270,,,10.1130/0091-7613(1996)024<0267:XCOTTH>2.3.CO;2
2083,"ALLAN, 1992","ALLAN, J F","CR-SPINEL AS A PETROGENETIC INDICATOR: DEDUCING MAGMA COMPOSITION FROM SPINELS IN HIGHLY ALTERED BASALTS FROM THE JAPAN SEA, SITES 794 AND 797",,1992,"PROC ODP, SCI RESULTS",2,127/128,837-847,,,10.2973/odp.proc.sr.127128-2.201.1992
2085,"GAO, 2012","GAO, Y; VILS, F; COOPER, K M; BANERJEE, N R; HARRIS, M; HOEFS, J E; TEAGLE, D A H; CASEY, J F; ELLIOTT, T; LAVERNE, C; ALT, J C; MUEHLENBACHS, K","DOWNHOLE VARIATION OF LITHIUM AND OXYGEN ISOTOPIC COMPOSITIONS OF OCEANIC CRUST AT EAST PACIFIC RISE, ODP SITE 1256",,2012,GEOCHEM GEOPHYS GEOSYST,10,13,24-Jan,,,10.1029/2012GC004207
2090,"ALT, 1995","ALT, J C; ZULEGER, E; ERZINGER, J","MINERALOGY AND STABLE ISOTOPIC COMPOSITIONS OF THE HYDROTHERMALLY ALTERED LOWER SHEETED DIKE COMPLEX, HOLE 504B, LEWG 140",,1995,"PROC ODP, SCI RESULTS",,137/140,155-166,,,10.2973/odp.proc.sr.137140.013.1995
2091,"ARCULUS, 1992","ARCULUS, R J; PEARCE, J A; MURTON, B J; VAN DER LAAN, S",IGNEOUS STRATIGRAPHY AND MAJOR-ELEMENT GEOCHEMISTRY OF HOLES 786A AND 786B,,1992,"PROC ODP, SCI RESULTS",,125,143-169,,,10.2973/odp.proc.sr.125.137.1992
2094,"WARREN, 2012","WARREN, J M; SHIREY, S B",LEAD AND OSMIUM ISOTOPIC CONSTRAINTS ON THE OCEANIC MANTLE FROM SINGLE ABYSSAL PERIDOTITE SULFIDES,,2012,EARTH PLANET SCI LETT,,359-360,279-293,,,10.1016/j.epsl.2012.09.055
2095,"WANLESS, 2012","WANLESS, V D; SHAW, A M",LOWER CRUSTAL CRYSTALLIZATION AND MELT EVOLUTION AT MID-OCEAN RIDGES,,2012,NATURE GEOSCIENCE,,5,651-654,,,10.1038/NGEO1552
2096,"WANLESS, 2012","WANLESS, V D; PERFIT, M R; KLEIN, E M; WHITE, S M; RIDLEY, W I","RECONCILING GEOCHEMICAL AND GEOPHYSICAL OBSERVATIONS OF MAGMA SUPPLY AND MELT DISTRIBUTION AT THE 9 DEGREE N OVERLAPPING SPREADING CENTER, EAST PACIFIC RISE",,2012,GEOCHEM GEOPHYS GEOSYST,11,13,22-Jan,,,10.1029/2012GC004168
2097,"TUCKER, 2012","TUCKER, J; MUKHOPADHYAY, S; SCHILLING, J-G",THE HEAVY NOBLE GAS COMPOSITION OF THE DEPLETED MORB MANTLE (DMM) AND ITS IMPLICATIONS FOR THE PRESERVATION OF HETEROGENEITIES IN THE MANTLE,,2012,EARTH PLANET SCI LETT,,355-356,244-254,,,10.1016/j.epsl.2012.08.025
2110,"BREWER, 1996","BREWER, T S; HARVEY, P K; LOCKE, J; LOVELL, M A ","NEUTRON ABSORPTION CROSS SECTION (SIGMA) OF BASALTIC BASEMENT SAMPLES FROM HOLE 896A, COSTA RICA RIFT",,1996,"PROC ODP, SCI RESULTS",,148,389-394,,,10.2973/odp.proc.sr.148.1996
2117,"FISK, 1990","FISK, M R; HOWARD, K",CHEMISTRY OF BASALT ALTERATION FROM LEG 115,,1990,"PROC ODP, SCI RESULTS",,115,791-793,,,10.2973/odp.proc.sr.115.125.1990
2118,"FISK, 1990","FISK, M R; HOWARD, K",PRIMARY MINERALOGY OF LEG 115 BASALTS,,1990,"PROC ODP, SCI RESULTS",,115,23-42,,,10.2973/odp.proc.sr.148.154.1996
2119,"FLETCHER, 1997","FLETCHER, J M; STEPHENS, C J; PETERSEN, E U; SKERL, L",GREENSCHIST FACIES HYDROTHERMAL ALTERATION OF OCEANIC GABBROS: A CASE STUDY OF ELEMENT MOBILITY AND REACTION PATHS,,1997,"PROC ODP, SCI RESULTS",,153,389-398,,,10.2973/odp.proc.sr.153.036.1997
2127,"LISSENBERG, 2013","LISSENBERG, C J; MACLEOD, C J; HOWARD, K; GODARD, M","PERVASIVE REACTIVE MELT MIGRATION THROUGH FAST-SPREADING LOWER OCEANIC CRUST (HESS DEEP, EQUATORIAL PACIFIC OCEAN)",,2013,EARTH PLANET SCI LETT,,361,436-447,,,10.1016/j.epsl.2012.11.012
2128,"LANGE, 2013","LANGE, A; NIELSEN, R L; TEPLEY III, F J; KENT, A J R",DIVERSE Sr ISOTOPE SIGNATURES PRESERVED IN MID-OCEANIC-RIDGE BASALT PLAGIOCLASE,,2013,GEOLOGY,2,41,279-282,,,10.1130/G33739.1
2129,"KELLEY, 2013","KELLEY, K A; KINGSLEY, R H; SCHILLING, J-G","COMPOSITION OF PLUME-INFLUENCED MID-OCEAN RIDGE LAVAS AND GLASSES FROM THE MID-ATLANTIC RIDGE, EAST PACIFIC RISE, GALAPAGOS SPREADING CENTER, AND GULF OF ADEN",,2013,GEOCHEM GEOPHYS GEOSYST,1,14,223-242,,,10.1002/ggge.20049
2130,"GALE, 2013","GALE, A; DALTON, C; LANGMUIR, C H; SU, Y; SCHILLING, J-G",THE MEAN COMPOSITION OF OCEAN RIDGE BASALTS,,2013,GEOCHEM GEOPHYS GEOSYST,3,14,489-513,,,10.1029/2012GC004334
2136,"GILL, 1992","GILL, J B; SEALES, C; THOMPSON, P; HOCHSTAEDTER, A G; DUNLAP, C","PETROLOGY AND GEOCHEMISTRY OF PLIOCENE-PLEISTOCENE VOLCANIC ROCKS FROM THE IZU ARC, LEG 126",,1992,"PROC ODP, SCI RESULTS",,126,383-404,,"TAYLOR, B., FUJIOKA, K., ET AL.",10.2973/odp.proc.sr.126.145.1992
2137,"GREENOUGH, 1990","GREENOUGH, J D; FRYER, B J","DISTRIBUTION OF GOLD, PALLADIUM, PLATINUM, RHODIUM, RUTHENIUM, AND IRIDIUM IN LEG 115 HOTSPOT BASALTS: IMPLICATIONS FOR MAGMATIC PROCESSES",,1990,"PROC ODP, SCI RESULTS",,115,71-84,,,10.2973/odp.proc.sr.115.128.1990
2141,"COLIN, 2013","COLIN, A; BURNARD, P; MARTY, B",MECHANISMS OF MAGMA DEGASSING AT MID-OCEANIC RIDGES AND THE LOCAL VOLATILE COMPOSITION (4He-40Ar-CO2) OF THE MANTLE BY LASER ABLATION ANALYIS OF INDIVIDUAL MORB VESICLES,,2013,EARTH PLANET SCI LETT,,361,183-194,,,10.1016/j.epsl.2012.10.022
2147,"WESTERLUND, 2006","WESTERLUND, K; SHIREY, S B; RICHARDSON, S H; CARLSON, R W; GURNEY, J J; HARRIS, J W","A SUBDUCTION WEDGE ORIGIN FOR PALEOARCHEAN PERIDOTITIC DIAMONDS AND HARZBURGITES FROM THE PANDA KIMBERLITE, SLAVE CRATON: EVIDENCE FROM RE-OS ISOTOPE SYSTEMATICS",NULL,2006,CONTRIB MINERAL PETROL,NULL,152,275-294,NULL,NULL,10.1007/s00410-006-0101-8
2162,"IZRAELI, 2001","IZRAELI, E S; HARRIS, J W; NAVON, O",BRINE INCLUSIONS IN DIAMONDS: A NEW UPPER MANTLE FLUID,NULL,2001,EARTH PLANET SCI LETT,4-Mar,187,323-332,NULL,NULL,10.1016/S0012-821X(01)00291-6
2163,"IZRAELI, 2004","IZRAELI, E S; HARRIS, J W; NAVON, O","FLUID AND MINERAL INCLUSIONS IN CLOUDY DIAMONDS FROM KOFFIEFONTEIN, SOUTH AFRICA",NULL,2004,GEOCHIM COSMOCHIM ACTA,NULL,68,2561-2575,NULL,NULL,10.1016/j.gca.2003.09.005
2164,"KAMINSKY, 2001","KAMINSKY, F V; ZAKHARCHENKO, O D; DAVIES, R M; GRIFFIN, W L; KHACHATRYAN-BLINOVA, G K; SHIRYAEV, A A","SUPERDEEP DIAMONDS FROM THE JUINA AREA, MATO GROSSO STATE, BRAZIL",NULL,2001,CONTRIB MINERAL PETROL,NULL,140,734-753,NULL,NULL,10.1007/s004100000221
2185,"STACHEL, 1997","STACHEL, T; HARRIS, J W","DIAMOND PRECIPITATION AND MANTLE METASOMATISM - EVIDENCE FROM THE TRACE ELEMENT CHEMISTRY OF SILICATE INCLUSIONS IN DIAMONDS FROM AKWATIA, GHANA",NULL,1997,CONTRIB MINERAL PETROL,3-Feb,129,143-154,NULL,NULL,10.1007/s004100050328
2189,"STACHEL, 1998","STACHEL, T; VILJOEN, K S; BREY, G P; HARRIS, J W",METASOMATIC PROCESSES IN LHERZOLITIC AND HARZBURGITIC DOMAINS OF DIAMONDIFEROUS LITHOSPHERIC MANTLE: REE IN GARNETS FROM XENOLITHS AND INCLUSIONS IN DIAMONDS,NULL,1998,EARTH PLANET SCI LETT,NULL,159,12-Jan,NULL,NULL,10.1016/S0012-821X(98)00064-8
2194,"VILJOEN, 2010","VILJOEN, K S; DOBBE, R; HARRIS, J W; SMIT, B","TRACE ELEMENT CHEMISTRY OF MINERAL INCLUSIONS IN ECLOGITIC DIAMONDS FROM THE PREMIER (CULLINAN) AND FINSCH KIMBERLITES, SOUTH AFRICA; IMPLICATIONS FOR THE EVOLUTION OF THEIR MANTLE SOURCE",NULL,2010,LITHOS,2-Jan,118,158-168,NULL,NULL,10.1016/j.lithos.2010.04.011
2198,"TENG, 2013","TENG, F-Z; DAUPHAS, N; HUANG, S; MARTY, B",IRON ISOTOPIC SYSTEMATICS OF OCEANIC BASALT,,2013,GEOCHIM COSMOCHIM ACTA,,107,26-Dec,,,10.1016/j.gca.2012.12.027
2201,"DZIONY, 2008","DZIONY, W; KOEPKE, J; HOLTZ, F","DATA REPORT: PETROGRAPHY AND PHASE ANALYSES IN LAVAS AND DIKES FROM HOLE 1256D (ODP LEG 206 AND IODP EXPEDITION 309, EAST PACIFIC RISE)",,2008,"PROC ODP, SCI RESULTS",,309/312,22-Jan,,,10.2204/iodp.proc.309312.201.2008
2203,"GALE, 2013","GALE, A; LAUBIER, M; ESCRIG, S; LANGMUIR, C H","CONSTRAINTS ON MELTING PROCESSES AND PLUME-RIDGE INTERACTION FROM COMPREHENSIVE STUDY OF THE FAMOUS AND NORTH FAMOUS SEGMENTS, MID-ATLANTIC RIDGE",,2013,EARTH PLANET SCI LETT,,365,209-220,,,10.1016/j.epsl.2013.01.022
2204,"GAO, 2009","GAO, Y; HUANG, J; CASEY, J F","DATA REPORT: TRACE ELEMENT GEOCHEMISTRY OF THE OCEANIC CRUST FORMED AT SUPERFAST-SPREADING RIDGE, HOLE 1256D",,2009,"PROC ODP, SCI RESULTS",,309/312,10-Jan,,,10.2204/iodp.proc.309312.202.2009
2208,"HARGRAVES, 1990","HARGRAVES, R B","MAGNETIC PROPERTIES, IRON-TITANIUM OXIDES, AND PETROLOGY OF FOUR LEG 115 BASALTS",,1990,"PROC ODP, SCI RESULTS",,115,103-109,,,10.2973/odp.proc.sr.115.127.1990
2211,"KELLER, 1995","KELLER, R A; DUNCAN, R A; FISK, M R",GEOCHEMISTRY AND 40AR/39AR GEOCHRONOLOGY OF BASALTS FROM ODP LEG 145 (NORTH PACIFIC TRANSECT),,1995,"PROC ODP, SCI RESULTS",,145,333-344,,"REA, D.K., BASOV, I.A., SCHOLL, D.W., AND ALLAN, J.F.",10.2973/odp.proc.sr.145.131.1995
2213,"LAPIERRE, 1992","LAPIERRE, H; TAYLOR, R N; ROUER, O; CHAISEMARTIN, H","MINERAL CHEMISTRY OF FOREARC VOLCANIC ROCKS FROM THE IZU-BONIN-ARC, HOLES 792E AND 793B",,1992,"PROC ODP, SCI RESULTS",,126,431-446,,"TAYLOR, B., FUJKIOKA, K., ET AL.",10.2973/odp.proc.sr.126.147.1992
2214,"LAVERNE, 2006","LAVERNE, C",CHEMICAL COMPOSITION OF UNUSUAL TI HYDROGARNETS FROM THE DEEPEST VOLCANIC ROCKS CORED IN ODP HOLE 1256D (LEG 206),,2006,"PROC ODP, SCI RESULTS",,206,6-Jan,,"Teagle, D.A.H., Wilson, D.S., Acton, G.D., and Vanko, D.A.",10.2973/odp.proc.sr.206.005.2006
2216,"LAVERNE, 1995","LAVERNE, C; VANKO, D A; TARTAROTTI, P; ALT, J C","CHEMISTRY AND GEOTHERMOMETRY OF SECONDARY MINERALS FROM THE DEEP SHEETED DIKE COMPLEX, HOLE 504B",,1995,"PROC ODP, SCI RESULTS",,137/140,167-188,,"ERZINGER, J., BECKER, K., DICK, H.J.B., AND STOKKING, L.B.",10.2973/odp.proc.sr.137140.014.1995
2218,"BRANDL, 2013","BRANDL, P A; REGELOUS, M; BEIER, C; HAASE, K M",HIGH MANTLE TEMPERATURES FOLLOWING RIFTING CAUSED BY CONTINENTAL INSULATION,,2013,NATURE GEOSCIENCE,6,,391-394,,,10.1038/ngeo1758
2219,"GELDMACHER, 2013","GELDMACHER, J; HOEFIG, T; HAUFF, F; HOERNLE, K; GARBE-SCHÖNBERG, D; WILSON, D S",INFLUENCE OF THE GALAPAGOS HOTSPOT ON THE EAST PACIFIC RISE DURING MIOCENE SUPERFAST SPREADING,,2013,GEOLOGY,2,41,183-186,,,10.1130/G33533.1
2223,"PARAI, 2012","PARAI, R; MUKHOPADHYAY, S; STANDISH, J-J","HETEROGENEOUS UPPER MANTLE Ne, Ar, AND Xe ISOTOPIC COMPOSITIONS AND A POSSIBLE DUPAL NOBLE GAS SIGNATURE RECORDED IN BASALTS FROM THE SOUTHWEST INDIAN RIDGE",,2012,EARTH PLANET SCI LETT,,359-360,227-239,,,10.1016/j.epsl.2012.10.017
2224,"MEFFRE, 2012","MEFFRE, S; FALLOON, T J; CRAWFORD, A J; HOERNLE, K; HAUFF, F; DUNCAN, R A; BLOOMER, S H; WRIGHT, D J",BASALTS ERUPTED ALONG THE TONGAN FORE ARC DURING SUBDUCTION INITIATION: EVIDENCE FROM GEOCHRONOLOGY OF DREDGED ROCKS FROM THE TONGA FORE ARC AND TRENCH,,2012,GEOCHEM GEOPHYS GEOSYST,12,13,17-Jan,,,10.1029/2012gc004335
2225,"JICHA, 2012","JICHA, B; RHODES, J M; SINGER, B; GARCIA, M O","40Ar/39Ar GEOCHRONOLOGY OF SUBMARINE MAUNA LOA VOLCANO, HAWAII",,2012,J GEOPHYS RES,,117,16-Jan,,,10.1029/2012jb009373
2230,"FREUND, 2013","FREUND, S; BEIER, C; KRUMM, S; HAASE, K M",OXYGEN ISOTOPE EVIDENCE FOR THE FORMATION OF ANDESITIC-DACITIC MAGMAS FROM THE FAST-SPREADING PACIFIC-ANTARCTIC RISE BY ASSIMILATION-FRACTIONAL CRYSTALLISATION,,2013,CHEMICAL GEOLOGY,,347,271-283,,,10.1016/j.chemgeo.2013.04.013
2231,"HAMELIN, 2013","HAMELIN, C; BEZOS, A; DOSSO, L; ESCARTIN, J; CANNAT, M; MEVEL, C",ATYPICALLY DEPLETED UPPER MANTLE COMPONENT REVEALED BY Hf ISOTOPES AT LUCKY STRIKE SEGMENT,,2013,CHEMICAL GEOLOGY,,341,128-139,,,10.1016/j.chemgeo.2013.01.013
2233,"LABIDI, 2012","LABIDI, J; CARTIGNY, P; BIRCK, J L; ASSAYAG, N; BOURRAND, J",DETERMINATION OF MULTIPLE SULFUR ISOTOPES IN GLASSES: A REAPPRAISAL OF THE MORB DELTA34S,,2012,CHEMICAL GEOLOGY,,334,189-198,,,10.1016/j.chemgeo.2012.10.028
2236,"SILVA, 2013","SILVA, I; WEIS, D; SCOATES, J; BARLING, J","THE NINETYEAST RIDGE AND ITS RELATION TO THE KERGUELEN, AMSTERDAM AND ST. PAUL HOTSPOTS IN THE INDIAN OCEAN",,2013,J PETROL,6,54,1177-1210,,,10.1093/petrology/egt009
2237,"PARK, 2013","PARK, J-W; CAMPBELL, I; ARCULUS, R J","PLATINUM-ALLOY AND SULFUR SATURATION IN AN ARC-RELATED BASALT TO RHYOLITE SUITE: EVIDENCE FROM THE PUAL RIDGE LAVAS, EASTERN MANUS BASIN",,2013,GEOCHIM COSMOCHIM ACTA,,101,76-95,,,10.1016/j.gca.2012.10.001
